Id,"Deceased Name","Deceased First Name","Deceased Last Name","Deceased Hebrew",Gender,"English Date","Hebrew Date","English Observance","Next Date",Notes,Plaque,Relationship,"External Id","2 Adar Observe","Buried Date","Buried Location","Maiden Name","After Sunset",Pronoun,Mourner,"Normalized 2 Adar Observe","Plot Number","Plaque Number","Mourner 1 Name","Mourner 1 Id","Mourner 1 Account Id","Deceased Is Mourner 1's","Mourner 2 Name","Mourner 2 Id","Mourner 2 Account Id","Deceased Is Mourner 2's","Mourner 3 Name","Mourner 3 Id","Mourner 3 Account Id","Deceased Is Mourner 3's","Mourner 4 Name","Mourner 4 Id","Mourner 4 Account Id","Deceased Is Mourner 4's","Mourner 5 Name","Mourner 5 Id","Mourner 5 Account Id","Deceased Is Mourner 5's"100000,"Rabbi Shlomo Itzhaki","RECYCLED",,"רבי שלמה יצחקי, רש",,"1105-07-13","29 Tamuz, 4865",,,,,,,,,,,,,,,,,,"Everyone",,,,"rashi01.jpg","","","","","","","4","Enough can never be said."
100001,"Moses Maimonides","RECYCLED",,"מֹשֶׁה בֶּן־מַיְמוּן",,"1204-12-12","20 Tevet, 4965",,,,,,,,,,,,,,,,,,"Everyone",,,,"rambam01.jpg","rambam02.jpg","","","","","","4","Enough can never be said."
100002,"Israel ben Eliezer","RECYCLED",,"בעל שם טוב‬",,"1760-05-22","6 Sivan, 5520",,,,,,,,,,,,,,,,,,"Hasidim Everywhere",,,,"1523064977-baal-shem-tov.jpg","","Besht_Siddur.jpg","Besht_Shul1_Medzhibozh.jpg","BaalShemMatzeivoh.jpg","","","4","He started everything!"
100004,"Rav Moshe Schick","RECYCLED",,"Maharam Schick",,"","1 Shevat",,,,,,,,,,,,,,,,,,"Hasidim Everywhere",,,,"","","","","","","","4","(1807-1879) He learned under the Chasam Sofer from 1821-1827 in Pressburg. He was Rov in Verginin 1838, and then Chust in 1861. In Chust he founded a Yeshiva that numbered hundreds of students. He fought against the Reform movement and called upon the Orthodox to organize separate communities, which came to fruition in 1868. His responsa, “Shut Maharam Shik” contains 1000 responsa; he wrote seferim of drashot and chiddushim on the Torah as well."
100005,"Rav Yoshua Leib Diskin","RECYCLED",,"Rav Yoshua Leib Diskin",,"","29 Tevet",,,,,,,,,,,,,,,,,,"",,,,"RDiskin01.jpg","","","","","","","3","Born: Grodna, in Bellerus, 1819 and died in Jerusalem (5658/1898). The Rov of Brisk, son of Reb Binyamin Diskin, rov of Volkovisk. He was a Posek and great leader in his generation, known today as the Maharal Diskin. He became rov in various cities such as Lomza, Mezritch, Kovno, Shklov, and finally in Brisk, and became known as the Rav from Brisk in Israel. He moved to Eretz Yisroel after Yom Kippur in 1876, and settled in Jerusalem. He was a great scholar known for his cleverness and fear of Heaven. Many people would flock to him for advice and blessing, especially for medical advice. He founded the Diskin Orphanage, and Yeshivat Ohel Moshe, where he taught."
100006,"Rav Nathan Marcus Adler","RECYCLED",,"Rav Nathan Marcus Adler",,"1973-01-01","29 Tevet",,,,,,,,,,,,,,,,,,"",,,,"RAdler01.jpg","","","","","","","4",""
100007,"Rav Moshe Yechiel Halevi from Ozrov","RECYCLED",,"‬",,"","1 Shevat, 5731",,,,,,,,,,,,,,,,,,"",,,,"","","","","","","","3","The author of Aish Dos and Beer Moshe."
100008,"Rav Ben Shimon Mantzur","RECYCLED",,"Rav Ben Shimon Mantzur",,"1998-01-01","2 Shevat, 5758",,,,,,,,,,,,,,,,,,"",,,,"","","","","","","","4","One of the Elder Kabbalists of Jerusalem."
100009,"Rav Yosef Mashash","RECYCLED",,"Rav Yosef Mashash",,"1998-01-01","2 Shevat, 5758",,,,,,,,,,,,,,,,,,"",,,,"","","","","","","","4","One of the Elder Kabbalists of Jerusalem."
100010,"Rav Simcha Bunim Kalisch of Otvosk","RECYCLED",,"Rav Simcha Bunim Kalisch of Otvosk",,"1907-01-01","2 Shevat, 5667",,,,,,,,,,,,,,,,,,"",,,,"","","","","","","","4","The son of Reb Menachem Mendel of Vorka."
100012,"Asher ben Yaakov Avinu","RECYCLED",,"‬Asher ben Yaakov Avinu",,"","2 Shevat, 5731",,,,,,,,,,,,,,,,,,"",,,,"","","","","","","","3","The eighth son of our Patriarch Yaakov, one of the Twelve Tribes, he was the son of Zilpah, the maid-servant of Leah. Born in Charan in 1567 BCE, he lived 123 years"
100013,"Rebbe Nachman of Breslov","RECYCLED",,"רבי נחמן ברעסלאווער",,"1810-10-16","18 Tishrei, 5571",,,,,,,,,,,,,,,,,,"",,,,"RNachman.jpg","","TzionRNachman.jpg","","","","","3","Rebbe Nachman, a great-grandson of the Baal Shem Tov, revived the Hasidic movement by combining the esoteric secrets of Judaism (the Kabbalah) with in-depth Torah scholarship. He attracted thousands of followers during his lifetime, and his influence continues today through many Hasidic movements such as Breslov Hasidism. Rebbe Nachmans religious philosophy revolved around closeness to God and speaking to God in normal conversation  as you would with a best friend.  The concept of hitbodedut is central to his thinking"
100014,"Shneur Zalman of Liadi","RECYCLED",,"שניאור זלמן מליאדי",,"1982-01-19","24 Tevet, 5742",,,,,,,,,,,,,,,,,,"",,,,"Schneur_Zalman_of_Liadi.jpg","Tanya.jpg","AlterWriting.jpg","","","","","3","Baal haTanya"
100015,"Elimelech Weisblum of Lizhensk","RECYCLED",,"הצדיק הקדוש רבי רבי אלימלך מליזענסק, בעל נועם אלימלך",,"1787-03-11","21 Adar, 5547",,,,,,,,,,,,,,,,,,"",,,,"ElimelechMatzevah.PNG","","","","","","","3","On one occasion Rabbi Elimelech and Reb Zushya were staying at an inn. Each night non-Jewish peasants would enter their room and jestingly beat the one who lay nearest the fireside, Reb Zushya. One night, Rabbi Elimelech offered to change places with his brother so that he could take the beatings instead. Suggesting that Reb Zushya had suffered enough of this  Divine admonishment  the agreement was made and Rabbi Elimelech lay next to the fire instead. That night, the common gentiles again entered to begin their jest.  This time, however, one of them said that the one by the fire had taken his fair share of the treatment, and now it would be better to jest with the other one!"
100016,"Rebbe Reb Zushya of Annapole","RECYCLED",,"Rebbe Reb Zushya of Annapole",,"1800-01-28","2 Shevat, 5560",,,,,,,,,,,,,,,,,,"",,,,"","","Ostropoler01.png","Ostropoler02.png","Ostropoler03.png","Ostropoler04.png","","3","The Rebbe, Reb Zushya is a major disciple of the Maggid of Mezritch, successor to the Baal Shem Tov. The seemingly unsophisticated but clearly inspired Reb Zusha is one of the best known and most beloved Chassidic personalities. He and his famous brother, Rebbe Elimelech of Lizensk, spent many years wandering in exile, for esoteric reasons."
100017,"Hershele Ostropoler","RECYCLED",,"הערשעלע אסטראפאלער",,"1810-03-21","15 Adar II, 5570",,,,,,,,,,,,,,,,,,"",,,,"","","","","","","","3",""
100003,"Rabbi Levi Yitzchak of Berditzhov","RECYCLED",,"רבי לוי יצחק מברדיטשוב",,"1809-10-05","25 Tishrei, 5570",,,,,,,,,,,,,,,,,,"All Chasidim",,,,"LeviYitzchak.jpg","","LeviYitzchakMatzevah.jpg","LeviYitzchakMatzevah2.jpg","","","","4",""
